abbot	Ledare för ett kloster	Munkarnas överhuvud
abort	Avbrytande av graviditet	Medicinskt ingrepp som avslutar en graviditet
adeln	Societeten med titlar och vapen	De med grevar och baroner
affär	Plats där man handlar	Butik för varor
afton	Senare delen av dagen	Tid strax före natten
agent	Person som arbetar hemligt för en organisation	Någon som förmedlar affärer å andras vägnar
agera	Handla i en situation	Vidta åtgärder
aktad	Högt respekterad	Som andra ser upp till
aktar	Är försiktig med, i nutid	Håller kärt om, just nu
akten	Delen av ett skådespel	Det juridiska dokumentet
aktie	Andel i ett bolag	Papper som ger ägande i företag
aktiv	Full av energi och verksamhet	Motsatsen till passiv
aktör	Person som medverkar i en process	Deltagare på en marknad eller scen
akuta	Brådskande, om flera fall	De mest kritiska situationerna
alarm	Larmande signal vid fara	Ljud som varnar för hot
album	Samling av bilder eller låtar	Skiva med flera musikspår
alert	Vaken och uppmärksam	Snabb att reagera
alfan	Den första bokstaven i grekiska alfabetet	Ledande individen i en flock
alias	Annat namn man använder	Täcknamn för en person
alkis	Person med alkoholproblem, vardagligt	Nedsättande ord för en fyllbult
allen	Utan sällskap, poetiskt uttryck	Ensam, i äldre stil
allra	Förstärkning som betyder 'mest av alla'	Ord före en superlativ
alver	Mytiska väsen i skogen	Sagovarelser med spetsiga öron
ammar	Ger di till sin baby, just nu	Föder ett spädbarn med bröstmjölk
anade	Kände på sig, tidigare	Hade en föraning om något
anbud	Erbjudande i en upphandling	Förslag på pris för ett uppdrag
andan	Stämningen	Den speciella känslan i sammanhanget
andar	Övernaturliga väsen	Spöklika gestalter
andas	Drar in och ut luft	Lever genom att hämta syre
andel	Del av en helhet	Ägarskap i en gemensam summa
anden	Det övernaturliga väsendet	Fågeln vid dammen
andre	Den som kommer efter den första	Nummer två i ordningen
angav	Berättade för myndigheterna om någon, förr	Uppgav som fakta, tidigare
angel	Redskap för fiske	Krok med lina för fångst
anger	Rapporterar, just nu	Uppger något, i nutid
aning	Svag förnimmelse av något	En liten misstanke
ankan	Fågeln vid vattnet	Falskt rykte
ankar	Vad ett fartyg fäller för att ligga still	Tung metallanordning som håller fartyg kvar
ankor	Fåglar som kvackar vid dammen	Simfåglar man ofta ser i parker
anlag	Medfödd förmåga eller talang	Genetisk benägenhet för viss egenskap
anmäl	Uppmaning att rapportera ett brott till polisen	Att registrera sig till en tävling
annat	Motsatsen till detsamma	Något som skiljer sig från det nämnda
anser	Tycker eller menar, i nutid	Har en viss uppfattning just nu
anses	Betraktas allmänt som något	Uppfattas av andra på ett visst sätt
ansåg	Tyckte tidigare på ett visst sätt	Hade en åsikt förr i tiden
antag	Uppmaning att förmoda något	Säg att det vore sant, i uppmaningsform
antas	Förmodas vara sant	Tros vara fallet av andra
antik	Mycket gammal och värdefull, från forntiden	Beskriver möbler från svunna tider
antog	Förmodade något förr	Trodde på en förklaring i det förflutna
appar	Program man laddar ner till mobilen	Små verktyg på skärmen i telefonen
appen	Programmet man just öppnat på mobilen	Verktyget i telefonen man pratar om
april	Månad då man kan bli lurad med spratt	Fjärde månaden på året
arena	Plats för idrottsevenemang	Stor anläggning där matcher spelas
arken	Skeppet Noa byggde enligt berättelsen	Fartyget som räddade djuren från floden
arkiv	Plats där gamla dokument förvaras	Samling av historiska handlingar
armar	Kroppsdelar man sträcker ut för att krama	De man använder för att lyfta saker
armen	Kroppsdelen man bryter vid fall ibland	Den man sträcker fram för att skaka hand
arten	Den biologiska kategori en varelse tillhör	Sorten eller slaget av något specifikt
arter	Olika slag av växter eller djur	Biologiska kategorier i naturen
artig	Har fint sätt och gott uppförande	Beskriver någon som säger tack och varsågod
arton	Talet mellan sjutton och nitton	Myndighetsålder i många länder
artär	Blodkärl som för blod från hjärtat	Kroppens huvudledning för syrerikt blod
arvet	Det man ärver efter en anhörig	Kulturell tradition som förs vidare
asiat	Person från en viss världsdel	Någon med rötter österut i världen
askan	Resterna efter branden	Det gråa stoftet i askfatet
askar	Små lådor för smycken eller tändstickor	Förvaringskärl man öppnar och stänger
asken	Lådan med tändstickor i	Behållaren för cigaretter man bär i fickan
aspen	Trädet vars löv darrar i vinden	Ett lövträd känt för sitt lätta virke
astma	Sjukdom som gör det svårt att andas	Andningsbesvär som kräver inhalator
atlet	Person med stark och tränad kropp	Idrottsutövare med stor muskelstyrka
attan	Uttryck av lätt förargelse	Talet arton skrivet informellt
